ÜRÜN,ÖLÇÜ,GÖRSEL,FİYAT,
RODA Chair,TRUE,TRUE,TRUE,**Yazan fiyat 8 adet fiyatıdır diye belirtelim/ price for 8
Cassina Sail Out Pouf,TRUE,TRUE,TRUE,
Roda Double 35 Pouf,,TRUE,FALSE,**İndirimli fiyatına 1350 Euro yazalım / price is 1350
Roda Double 36 Pouf,,TRUE,FALSE,**İndirimli fiyatına 1700 Euro yazalım price is 1700
Paola Lenti Otto Cylindrical Pouf,TRUE,TRUE,TRUE,
Fendi Ohe Coffee Table,TRUE,TRUE,FALSE,"**İndirimsiz fiyatına 9389 Euro, indirimli fiyatına 5000 Euro yazalım /from 9389 euro to 5000 euro"
B&B Italia Colosseo Side Table,TRUE,TRUE,TRUE,
B&B Italia Colosseo Side Table,TRUE,TRUE,TRUE,
Paola Lenti Strap Side Table,TRUE,TRUE,TRUE,
Flexform Fly Side Table,TRUE,TRUE,TRUE,
Gervasoni Heiko Outdoor Coffee Table,,,,TAKE İT OUT OF THE LİST
Gervasoni Heiko Outdoor Coffee Table,,,,TAKE İT OUT OF THE LİST
Gervasoni Heiko Outdoor Coffee Table,,,,TAKE İT OUT OF THE LİST
B&B Italia-Outdoor Canasta Coffee Table,TRUE,TRUE,TRUE,
Talenti Venice Coffee Table,,TRUE,,**İndirimli fiyatına 2950 Euro yazalım / price is 2950 euro
Paola Lenti Portofino Stool,TRUE,TRUE,TRUE,
Roda Sunglass Low Table,TRUE,TRUE,TRUE,
B&B Italia Mirto Chaise Longu,FALSE,TRUE,TRUE,"**Ölçü:73,5x200cm H:37/95cm measueements"
Exteta Vertical Garden_ High,TRUE,TRUE,TRUE,
Exteta Vertical Garden_ Low,TRUE,TRUE,TRUE,
Cassina 9 Oval Lounge Table Walnut ,,,,TAKE İT OUT OF THE LİST
B&B Italia Button Coffee Table,,,,TAKE İT OUT OF THE LİST
B&B Italia Mirto Coffee Table,TRUE,TRUE,TRUE,
B&B Italia Cutter Chair,,,,TAKE İT OUT OF THE LİST
